"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Swift", "C++", "XML", "Properties", "Gradle", "comment", "blank", "total"
"c:\.projects\flutter\mental_health_flutter\lib\observer.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\.projects\flutter\mental_health_flutter\lib\presentation\404page.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\.projects\flutter\mental_health_flutter\lib\presentation\about_developer.dart", "Dart", 0, 205, 0, 0, 0, 0, 0, 0, 0, 4, 6, 215
"c:\.projects\flutter\mental_health_flutter\lib\presentation\auth.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 52, 4, 78
"c:\.projects\flutter\mental_health_flutter\lib\presentation\bottom_nav_bar\bloc\navigation_bloc.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\.projects\flutter\mental_health_flutter\lib\presentation\bottom_nav_bar\bloc\navigation_events.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\.projects\flutter\mental_health_flutter\lib\presentation\bottom_nav_bar\bloc\navigation_states.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\.projects\flutter\mental_health_flutter\lib\presentation\bottom_nav_bar\widget\bottom_nav_bar.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 5, 29
"c:\.projects\flutter\mental_health_flutter\lib\presentation\home_screen\home_screen.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 25, 8, 146
"c:\.projects\flutter\mental_health_flutter\lib\presentation\onboarding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 3, 61
"c:\.projects\flutter\mental_health_flutter\lib\presentation\support_developer.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 69
"c:\.projects\flutter\mental_health_flutter\lib\presentation\tech_used.dart", "Dart", 0, 216, 0, 0, 0, 0, 0, 0, 0, 2, 8, 226
"c:\.projects\flutter\mental_health_flutter\lib\translations\codegen_loader.g.dart", "Dart", 0, 122, 0, 0, 0, 0, 0, 0, 0, 2, 7, 131
"c:\.projects\flutter\mental_health_flutter\lib\translations\locale_keys.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 3, 52
"c:\.projects\flutter\mental_health_flutter\pubspec.yaml", "YAML", 64, 0, 0, 0, 0, 0, 0, 0, 0, 92, 16, 172
"c:\.projects\flutter\mental_health_flutter\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 74, 4103, 12676, 25, 19, 1, 218, 8, 89, 732, 463, 18408
