"filename", "language", "Dart", "Groovy", "Swift", "Properties", "XML", "JSON", "C++", "HTML", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\core\routes.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\core\theme.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 77
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\auth_screens\cubit\auth_cubit.dart", "Dart", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 10, 95
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\auth_screens\cubit\auth_state.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\auth_screens\pages\login_page.dart", "Dart", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 252
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\auth_screens\pages\logup_page.dart", "Dart", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 286
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\auth_screens\widgets\widgets.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\chat_gemini\chat_with_gemini.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_bloc.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_event.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_state.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 20
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\data\datasource\doctor_remote_datasource.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 32
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\get_doctor\data\model\doctor_model.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 41
