"filename", "language", "C++", "CMake", "YAML", "Dart", "JSON", "XML", "Swift", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"c:\.projects\flutter\mental_health_flutter\devtools_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\.projects\flutter\mental_health_flutter\firebase.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\flutter_launcher_icons.yaml", "YAML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 9, 6, 33
"c:\.projects\flutter\mental_health_flutter\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\.projects\flutter\mental_health_flutter\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 1, 45
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\.projects\flutter\mental_health_flutter\lib\core\routes.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\.projects\flutter\mental_health_flutter\lib\core\theme.dart", "Dart", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 5, 77
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\cubit\auth_cubit.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 22, 10, 95
